007 ['007']
008 ['008']
009 ['009']
010 ['010']
011 ['011']
abk ['abk']
ace ['ace']
acu ['acu', '1']
ada ['ada']
afr ['afr']
agr ['agr']
aii ['aii']
ajg ['ajg']
aka ['fante', 'akuapem', 'asante']
als ['als']
alt ['alt']
amc ['amc']
ame ['ame']
amh ['amh']
amr ['amr']
arb ['arb']
arl ['arl']
arn ['arn']
ast ['ast']
auc ['auc']
auv ['auv']
ayr ['ayr']
azj ['latn', 'cyrl']
bam ['bam']
ban ['ban']
bba ['bba']
bci ['bci']
bcl ['bcl']
bel ['bel']
bem ['bem']
ben ['ben']
bfa ['bfa']
bho ['bho']
bin ['bin']
bis ['bis']
blu ['blu']
boa ['boa']
bod ['bod']
bos ['latn', 'cyrl']
bre ['bre']
btb ['btb']
bug ['bug']
bul ['bul']
cab ['cab']
cak ['cak']
cat ['cat']
cbi ['cbi']
cbr ['cbr']
cbs ['cbs']
cbt ['cbt']
cbu ['cbu']
ccx ['ccx']
ceb ['ceb']
ces ['ces']
cha ['cha']
chj ['chj']
chk ['chk']
chr ['chr']
cic ['cic']
cjk ['cjk', 'ao']
cjs ['cjs']
ckb ['ckb']
cmn ['hant', 'hans']
cnh ['cnh']
cni ['cni']
cof ['cof']
cos ['cos']
cot ['cot']
cpu ['cpu']
crs ['crs']
csa ['csa']
csw ['csw']
ctd ['ctd']
cym ['cym']
dag ['dag']
dan ['dan']
ddn ['ddn']
deu ['1901', '1996']
dga ['dga']
dip ['dip']
div ['div']
dyo ['dyo']
dzo ['dzo']
ell ['polytonic', 'monotonic']
emk ['emk']
eml ['eml']
eng ['eng']
epo ['epo']
est ['est']
eus ['eus']
eve ['eve']
evn ['evn']
ewe ['ewe']
fao ['fao']
fij ['fij']
fin ['fin']
flm ['flm']
fon ['fon']
fra ['fra']
fri ['fri']
fuc ['fuc']
fur ['fur']
gaa ['gaa']
gag ['gag']
gax ['gax']
gjn ['gjn']
gkp ['gkp']
gla ['gla']
gle ['gle']
glg ['glg']
guc ['guc']
gug ['gug']
guj ['guj']
guu ['guu']
gyr ['gyr']
hat ['kreyol', 'popular']
hau ['ng', 'ne']
haw ['haw']
hea ['hea']
heb ['heb']
hil ['hil']
hin ['hin']
hlt ['hlt']
hms ['hms']
hna ['hna']
hni ['hni']
hrv ['hrv']
hsb ['hsb']
hsf ['hsf']
hun ['hun']
hus ['hus']
huu ['huu']
hva ['hva']
hye ['hye']
ibb ['ibb']
ibo ['ibo']
ido ['ido']
iii ['iii']
ike ['ike']
ilo ['ilo']
ina ['ina']
ind ['ind']
isl ['isl']
ita ['ita']
jav ['jav']
jiv ['jiv']
jpn ['jpn']
kal ['kal']
kan ['kan']
kat ['kat']
kaz ['kaz']
kbp ['kbp']
kde ['kde']
kea ['kea']
kek ['kek']
kha ['kha']
khk ['mong', 'khk']
khm ['khm']
kin ['kin']
kir ['kir']
kjh ['kjh']
kmb ['kmb']
knc ['knc']
kng ['ao', 'kng']
koo ['koo']
kor ['kor']
kqn ['kqn']
kri ['kri']
krl ['krl']
ktu ['ktu']
kwi ['kwi']
lad ['lad']
lao ['lao']
lat ['lat', '1']
lav ['lav']
lia ['lia']
lin ['lin', 'tones']
lit ['lit']
lnc ['lnc']
lns ['lns']
lot ['lot']
loz ['loz']
ltz ['ltz']
lua ['lua']
lue ['lue']
lug ['lug']
lun ['lun']
lus ['lus']
mad ['mad']
mag ['mag']
mah ['mah']
mai ['mai']
mal ['mal']
mam ['mam']
mar ['mar']
maz ['maz']
mcd ['mcd']
mcf ['mcf']
men ['men']
mic ['mic']
min ['min']
miq ['miq']
mkd ['mkd']
mlt ['mlt']
mly ['latn', 'arab']
mos ['mos']
mri ['mri']
mxi ['mxi']
mxv ['mxv']
mya ['mya']
mzi ['mzi']
nav ['nav']
nba ['nba']
nbl ['nbl']
ndo ['ndo']
nds ['nds']
nep ['nep']
nhn ['nhn']
njo ['njo']
nku ['nku']
nld ['nld']
nno ['nno']
nob ['nob']
not ['not']
nso ['nso']
nya ['chechewa', 'chinyanja']
nym ['nym']
nyn ['nyn']
nzi ['nzi']
ojb ['ojb']
oss ['oss']
ote ['ote']
pam ['pam']
pan ['pan']
pau ['pau']
pbb ['pbb']
pbu ['pbu']
pcd ['pcd']
pcm ['pcm']
pes ['2', '1']
pis ['pis']
plt ['plt']
pnb ['pnb']
pol ['pol']
pon ['pon']
por ['pt', 'br']
pov ['pov']
ppl ['ppl']
prq ['prq']
prv ['prv']
quc ['quc']
qud ['qud']
qug ['qug']
quy ['quy']
quz ['quz']
qva ['qva']
qvc ['qvc']
qvh ['qvh']
qvm ['qvm']
qvn ['qvn']
qwh ['qwh']
qxa ['qxa']
qxn ['qxn']
qxu ['qxu']
rar ['rar']
rmn ['rmn', '1']
rmy ['rmy']
roh ['roh']
ron ['1953', '1993', '2006']
run ['run']
rus ['rus']
sag ['sag']
sah ['sah']
san ['san']
sco ['sco']
sey ['sey']
shk ['shk']
shp ['shp']
skr ['skr']
slk ['slk']
slv ['slv']
sme ['sme']
smo ['smo']
sna ['sna']
snk ['snk']
snn ['snn']
som ['som']
sot ['sot']
spa ['spa']
src ['src']
srp ['latn', 'cyrl']
srr ['srr']
ssw ['ssw']
suk ['suk']
sun ['sun']
sus ['sus']
swe ['swe']
swh ['swh']
tah ['tah']
taj ['taj']
tam ['tam']
tat ['tat']
tbz ['tbz']
tca ['tca']
tem ['tem']
tet ['tet']
tgk ['tgk']
tgl ['tgl', 'tglg']
tha ['tha']
tir ['tir']
tiv ['tiv']
tob ['tob']
toi ['toi']
toj ['toj']
ton ['ton']
top ['top']
tpi ['tpi']
tsn ['tsn']
tso ['mz']
tsz ['tsz']
tuk ['cyrl', 'latn']
tur ['tur']
tyv ['tyv']
tzc ['tzc']
tzh ['tzh']
tzm ['tzm', 'tfng']
uig ['arab', 'latn']
ukr ['ukr']
